name,avg_vehicle_disutility,avg_episode_disutility
ppo_5,495,131223
human_5,647,171584
random_5,5931,1429507
uniform_3,2100,516803
uniform_4,2100,516803
uniform_5,4071,887647
uniform_6,7640,1444062
uniform_7,1787,452354
uniform_8,3202,794251
uniform_9,1418,373120
uniform_10,1601,416354
uniform_11,1264,336287
uniform_12,1503,398343
uniform_13,1711,456996
uniform_14,1878,497731
uniform_15,1947,510276
uniform_16,2425,650120
uniform_17,2726,722446
uniform_18,2595,698076
uniform_19,3542,928126
uniform_20,3851,1016683
uniform_21,4164,1112038
uniform_22,4336,1140625
uniform_23,4052,1081993
uniform_24,4147,1090809
uniform_25,5119,1305400
uniform_26,5548,1459319
uniform_27,5550,1482025
uniform_28,5886,1559948
uniform_29,6276,1669681
